State Code,State Name,District Code,District Name,Tehsil Code,Tehsil Name,Town Code/Village code,Ward No,Area Name,Urban/Rural,output
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057709,0000,Gandapra (441),R,HAYaJaGand429
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057710,0000,Kanahri Kalan (440),R,HAYaJaKana828
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057711,0000,Bhambol (434),R,HAYaJaBham788
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057712,0000,Jandhera (433),R,HAYaJaJand544
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057713,0000,Goglon (432),R,HAYaJaGogl150
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057714,0000,Hasanpur (430),R,HAYaJaHasa376
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057715,0000,Darajpur (431),R,HAYaJaDara762
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057716,0000,Kalanpur (461),R,HAYaJaKala341
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057717,0000,Akbarpur (463),R,HAYaJaAkba223
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057718,0000,Topra Khurd (464),R,HAYaJaTopr106
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057719,0000,Modhli (480),R,HAYaJaModh949
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057720,0000,Badanpuri (481),R,HAYaJaBada886
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057721,0000,Gohlni (462),R,HAYaJaGohl749
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057722,0000,Sialba (460),R,HAYaJaSial615
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057723,0000,Jhar Chandna (458),R,HAYaJaJhar532
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057724,0000,Hangoli (459),R,HAYaJaHang106
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057725,0000,Namdarpur (455),R,HAYaJaNamd832
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057726,0000,Mali Majra (454),R,HAYaJaMali215
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057727,0000,Maghar Pura (446),R,HAYaJaMagh411
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057728,0000,Sultanpur (445),R,HAYaJaSult511
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057729,0000,Bhagwanpur (447),R,HAYaJaBhag227
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057730,0000,Fatehpur (448),R,HAYaJaFate735
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057731,0000,Saran (449),R,HAYaJaSara467
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057732,0000,Kulpur (450),R,HAYaJaKulp417
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057733,0000,Mehmadpur (451),R,HAYaJaMehm913
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057734,0000,Faridpur (452),R,HAYaJaFari133
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057735,0000,Daulatpur Mahan (453),R,HAYaJaDaul660
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057736,0000,Uncha Chandana (456),R,HAYaJaUnch918
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057737,0000,Kajiwas (457),R,HAYaJaKaji800
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057738,0000,Kabulpur (181),R,HAYaJaKabu217
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057739,0000,Rupauli  (180)      ,R,HAYaJaRupa884
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057740,0000,Gundani (178),R,HAYaJaGund190
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057741,0000,Gundana (179),R,HAYaJaGund931
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057742,0000,Masana Jatan (184),R,HAYaJaMasa824
06,HARYANA,071,Yamunanagar,00361,Jagadhri,057743,0000,Shahab Pura (185),R,HAYaJaShah633
